train_horizon,test_horizon,roc_auc,pr_auc,recall_1pct_fpr
1,1,0.9606892395353934,0.751353650351945,0.6111111111111112
1,2,0.8911476982097187,0.461672263439037,0.3875
1,3,0.8915932552296189,0.47471583823278485,0.30303030303030304
1,4,0.8814210537328423,0.5285259002111449,0.4077669902912621
1,5,0.9292960088691796,0.6302158240515853,0.4268292682926829
2,1,0.9489850427350428,0.7313139377727299,0.6111111111111112
2,2,0.8522090792838874,0.49280063486126424,0.4
2,3,0.8880538653265926,0.4723372173358041,0.3939393939393939
2,4,0.8664525443588884,0.5106215793706002,0.3592233009708738
2,5,0.907461197339246,0.6222764515946538,0.3780487804878049
3,1,0.9650928665351741,0.7398537177859041,0.6481481481481481
3,2,0.8686796675191816,0.4715128607749461,0.375
3,3,0.897382920110193,0.500747225703676,0.3434343434343434
3,4,0.9102778707733512,0.6357127445887982,0.5631067961165048
3,5,0.9355820399113084,0.6982499970962249,0.573170731707317
4,1,0.9063664255971948,0.4421466354624337,0.35185185185185186
4,2,0.7767519181585678,0.23468363084224472,0.1875
4,3,0.9056398147307239,0.4704546404107853,0.2727272727272727
4,4,0.898602276531637,0.5494414216515083,0.4077669902912621
4,5,0.9579711751662972,0.7540591380480755,0.5975609756097561
5,1,0.8421200416392723,0.21320988131014876,0.18518518518518517
5,2,0.7627493606138107,0.11556447151070323,0.0625
5,3,0.8653316380589109,0.25905742732370807,0.09090909090909091
5,4,0.8899083528624037,0.3438563231088233,0.10679611650485436
5,5,0.9418237250554323,0.6217564756191022,0.3048780487804878
