Feature,VIF
A12,8.89542869660572
A8,6.883563613073372
A33,6.153311529541827
A34,6.123573393061077
A32,5.735972955584225
A51,5.729578603693499
A47,5.66906314236584
A3,5.467348000371907
A50,3.5492564262227
A2,3.1827415425262267
A40,2.9275338419200194
A35,2.7627887544790704
A25,2.2629517924328884
A1,2.082845419437183
A45,1.3848386256818923
A60,1.3719702627332195
A61,1.3434162847852895
A64,1.2996241100308352
A29,1.2725188380092318
A28,1.0828120174497855
A55,1.0781582159146683
A59,1.0686591706194328
A57,1.0670315951485194
A6,1.0222378244209722
A20,1.0177826701160326
A27,1.0092924034999635
A21,1.0030263455515431
A15,1.0029315403608328
A37,1.0027029167624864
A5,1.0016048012688215
A41,1.000572853434816
