year,mean,sum,count,rate_pct
1999,0.07159005275056518,380,5308,7.1590052750565185
2000,0.07730577879831611,404,5226,7.730577879831611
2001,0.08454155605472738,414,4897,8.454155605472739
2002,0.08901311545904107,414,4651,8.901311545904107
2003,0.09395517319447588,415,4417,9.395517319447588
2004,0.09291628334866606,404,4348,9.291628334866605
2005,0.0901307966706302,379,4205,9.013079667063021
2006,0.08866279069767442,366,4128,8.866279069767442
2007,0.0838114242953355,336,4009,8.38114242953355
2008,0.07363235675395385,284,3857,7.363235675395385
2009,0.06251669783596046,234,3743,6.251669783596046
2010,0.060137931034482756,218,3625,6.0137931034482754
2011,0.05522345573583831,194,3513,5.522345573583831
2012,0.052223816355810616,182,3485,5.222381635581062
2013,0.04793340987370838,167,3484,4.793340987370838
2014,0.04052511415525114,142,3504,4.052511415525114
2015,0.03309481216457961,111,3354,3.309481216457961
2016,0.026010654967094954,83,3191,2.6010654967094955
2017,0.01891174518911745,57,3014,1.891174518911745
2018,0.013220712449504223,36,2723,1.3220712449504224
