feature_code,feature_name,category,correlation,abs_correlation
X6,Net Income,Profitability,-0.11228435398194155,0.11228435398194155
X15,Retained Earnings,Equity,-0.09373409168554588,0.09373409168554588
X8,Market Value,Valuation,-0.06491058166162092,0.06491058166162092
X12,EBIT,Profitability,-0.05677548306141353,0.05677548306141353
X13,Gross Profit,Profitability,-0.04488760224415879,0.04488760224415879
X1,Current Assets,Assets,-0.043536985302345385,0.043536985302345385
X4,EBITDA,Profitability,-0.04186246917713118,0.04186246917713118
X5,Inventory,Assets,-0.040661807666399645,0.040661807666399645
X16,Total Revenue,Revenue,-0.03735877049171331,0.03735877049171331
X9,Net Sales,Revenue,-0.03735877049171331,0.03735877049171331
X7,Total Receivables,Assets,-0.035966276987333616,0.035966276987333616
X18,Operating Expenses,Expenses,-0.029206085960199475,0.029206085960199475
X10,Total Assets,Assets,-0.028560503128566183,0.028560503128566183
X2,Cost of Goods Sold,Expenses,-0.024205154143576664,0.024205154143576664
X11,Long-term Debt,Liabilities,-0.02307482689901095,0.02307482689901095
X3,Depreciation & Amortization,Expenses,0.016108116525579454,0.016108116525579454
X14,Current Liabilities,Liabilities,0.013830142791728093,0.013830142791728093
X17,Total Liabilities,Liabilities,-0.005794916275999039,0.005794916275999039
