feature_code,feature_name,category,bankrupt_mean,healthy_mean,difference,difference_pct,t_statistic,p_value,significant
X8,Market Value,Valuation,364.98519205882354,4321.146136638091,-3956.1609445792674,-91.55350963569154,-16.528044575807723,3.214983685995939e-51,True
X6,Net Income,Profitability,-189.78249966386556,166.93780083775493,-356.7203005016205,-213.68455718924508,-14.600993722787555,2.1193381443622746e-31,True
X15,Retained Earnings,Equity,-732.9451146218488,576.5974042753427,-1309.5425188971915,-227.11557651616573,-11.922189232440662,7.121498617426987e-24,True
X12,EBIT,Profitability,37.46128873949581,310.52396589779397,-273.0626771582982,-87.9361038587837,-6.690488856006436,3.918392970434339e-10,True
X13,Gross Profit,Profitability,368.97188957983195,922.8738224071492,-553.9019328273173,-60.019248501660215,-5.7048072179977005,5.4554205041235763e-08,True
X1,Current Assets,Assets,446.14798319327724,1030.1119170622733,-583.963933868996,-56.689367844066375,-5.601518269986327,8.910180299056722e-08,True
X5,Inventory,Assets,91.61863025210084,232.34141473052225,-140.7227844784214,-60.56724094653406,-4.8179840296603045,3.4430279820539903e-06,True
X16,Total Revenue,Revenue,1292.1869411764708,2637.3175043284004,-1345.1305631519297,-51.00374001022947,-4.7459836467687975,4.555252214779905e-06,True
X9,Net Sales,Revenue,1292.1869411764708,2637.3175043284004,-1345.1305631519297,-51.00374001022947,-4.7459836467687975,4.555252214779905e-06,True
X4,EBITDA,Profitability,179.71232142857144,461.8572972633343,-282.1449758347629,-61.08921034842803,-3.83599880434764,0.00018973285031838454,True
X7,Total Receivables,Assets,175.80611714285737,347.6253294275346,-171.81921228467723,-49.42655144480615,-3.506187970825876,0.0006103760254796336,True
X18,Operating Expenses,Expenses,1279.663705882353,2137.185076428372,-857.5213705460192,-40.1238704127157,-3.4948487217243818,0.0006187321555671495,True
X2,Cost of Goods Sold,Expenses,1061.7775966386555,1626.3205948059203,-564.5429981672648,-34.71289731989378,-2.7308362609958814,0.007074731528694207,True
X10,Total Assets,Assets,2260.650260504204,3687.8277598436243,-1427.1774993394201,-38.699678842916924,-2.3782056311503617,0.018810280113504788,True
X11,Long-term Debt,Liabilities,747.2682184873958,1090.0610611561026,-342.79284266870684,-31.447122999251604,-1.8309929368318039,0.0693523128177695,False
X3,Depreciation & Amortization,Expenses,169.56984873949585,138.84341524713778,30.72643349235807,22.130277793632338,0.9339128723962653,0.3521467574466979,False
X14,Current Liabilities,Liabilities,866.8211536134455,722.2379625020945,144.58319111135097,20.01877478310089,0.7955440875565214,0.42780443595116524,False
X17,Total Liabilities,Liabilities,2176.2045362184886,2370.449250639487,-194.24471442099866,-8.194426198687712,-0.39821122779208196,0.6911358592218515,False
