feature,importance
F91,0.03527351020554546
F41,0.02909584487882111
F20,0.02613684338698952
F44,0.02372481265873606
F93,0.0231617676858398
F24,0.02124343728268103
F87,0.020847541548262877
F19,0.01952736250033602
F17,0.019270440888654827
F58,0.018967399113375652
F36,0.018763530206157016
F66,0.018709797559050258
F96,0.018478984569434996
F39,0.01823126807887524
F63,0.017101451969934366
F94,0.016806660080343972
F92,0.01677008202316681
F38,0.016438504848528098
F70,0.01602281798660419
F11,0.015997769494823254
F10,0.01595441118604475
F02,0.015528152204502847
F89,0.015259140936046864
F18,0.015239018802847894
F32,0.014756989174413475
F03,0.014568902911366208
F04,0.014341035785605284
F09,0.013316731831257624
F67,0.01326444069862049
F69,0.012939045733168978
F74,0.01286297356082671
F53,0.012706165298915145
F43,0.011347255165771349
F85,0.011318794954164197
F08,0.011266019387003627
F55,0.011089932937315554
F81,0.010849718223877172
F34,0.010684577555045949
F28,0.010575825942477534
F76,0.010561710271210969
F80,0.010292847916361583
F79,0.01025452787211296
F26,0.009896014594613067
F07,0.009866362554037493
F45,0.009847360337548796
F71,0.009774273097442146
F25,0.009745394803684892
F78,0.00972548054877345
F61,0.009714711410076649
F30,0.009664763435694047
F14,0.009566376118557627
F29,0.009547914106026262
F90,0.00943068923272017
F65,0.009327042194343464
F57,0.009221396097003823
F83,0.009212644767212149
F82,0.009212155922658085
F23,0.009176959595292212
F40,0.0090706666926268
F56,0.009033489361380941
F06,0.00894034006036617
F50,0.008879579972893362
F46,0.008849075395522123
F51,0.008840683210489772
F05,0.008726243145720302
F13,0.008369377509230525
F33,0.00832618680289634
F84,0.008079403652113735
F27,0.00798698249713012
F75,0.007759167109454234
F21,0.007633458904498124
F62,0.00710114498511896
F42,0.006049338758768769
F49,0.005911732477490293
F12,0.005738871107652762
F73,0.0052698921865624755
F77,0.003966453906416331
F72,0.0034091970467915026
F16,0.002248407171548478
F60,0.0017382041649263238
F22,0.0012739779638289684
F68,0.001185363302534199
F37,0.0008330887406202199
F52,0.0007411438815633712
F64,0.0006611644110284376
F35,0.00018590530703906221
F15,0.0001778849456158761
F48,0.00016730355545763753
F86,0.00014301990055943823
F47,0.00012048386805080354
F88,8.878843024289265e-05
F59,1.6395443058671336e-05
F54,0.0
F31,0.0
F95,0.0
